condition,pathogenic_variant_count
Carnitine palmitoyl transferase 1A deficiency,207
Combined malonic and methylmalonic acidemia,207
Arrhythmogenic right ventricular dysplasia 2,207
Familial hemophagocytic lymphohistiocytosis 2,206
Kennedy disease,206
Neurodevelopmental delay,206
Cone-rod dystrophy 6,205
Legius syndrome,204
Multiple congenital anomalies-hypotonia-seizures syndrome 1,204
Hyperimmunoglobulin D with periodic fever,204
Breast neoplasm,204
Isovaleryl-CoA dehydrogenase deficiency,203
Glycine encephalopathy 1,203
Joubert syndrome 7,203
Parathyroid carcinoma,203
Koolen-de Vries syndrome,202
"SKIN/HAIR/EYE PIGMENTATION 1, BLUE/NONBLUE EYES",202
Left ventricular noncompaction 10,202
Deficiency of steroid 11-beta-monooxygenase,202
Combined immunodeficiency due to DOCK8 deficiency,202
Achromatopsia,201
Multiple endocrine neoplasia type 2B,201
Combined immunodeficiency due to LRBA deficiency,201
Nephrolithiasis/nephrocalcinosis,201
Achromatopsia 3,201
Marfan Syndrome/Loeys-Dietz Syndrome/Familial Thoracic Aortic Aneurysms and Dissections,201
"Muscular dystrophy-dystroglycanopathy (congenital with intellectual disability), type B2",201
Frontotemporal dementia,200
PCNT-related disorder,200
Cone-rod dystrophy,200
Juvenile nephropathic cystinosis,200
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A1",199
CDKL5 disorder,199
ATM-related cancer predisposition,198
Autism spectrum disorder,198
CHEK2-related cancer predisposition,197
Oculocutaneous albinism type 1B,197
Agenesis of the corpus callosum with peripheral neuropathy,197
Glycogen storage disease due to glucose-6-phosphatase deficiency type IA,197
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A3",195
Monocytopenia with susceptibility to infections,194
Actin accumulation myopathy,194
Benign recurrent intrahepatic cholestasis type 2,194
Congenital myopathy with fiber type disproportion,193
Pitt-Hopkins-like syndrome 2,193
"Hearing loss, autosomal recessive",192
"Mitochondrial complex IV deficiency, nuclear type 1",192
Epilepsy with myoclonic atonic seizures,192
"Cardiomyopathy, familial restrictive, 3",192
Familial isolated arrhythmogenic right ventricular dysplasia,191
Infantile GM1 gangliosidosis,191
Succinate-semialdehyde dehydrogenase deficiency,191
Xeroderma pigmentosum,191
Severe combined immunodeficiency due to DCLRE1C deficiency,190
Multiple endocrine neoplasia type 4,190
Odonto-onycho-dermal dysplasia,190
"Diabetes mellitus, permanent neonatal 3",190
Nephronophthisis 4,190
Myofibrillar myopathy 4,190
Trichorhinophalangeal dysplasia type I,189
"Glycogen storage disease IV, classic hepatic",189
ABCA4-related disorder,189
Dystonia 12,189
Weill-Marchesani syndrome,189
Joubert syndrome 3,188
Retinitis pigmentosa 73,188
Perrault syndrome,187
"Amyloidosis, hereditary systemic 1",187
"Osteogenesis imperfecta with normal sclerae, dominant form",187
Pheochromocytoma/paraganglioma syndrome 3,187
"Granulomatous disease, chronic, X-linked",186
Benign familial hematuria,186
Nephropathic cystinosis,186
Joubert syndrome 23,185
Spongy degeneration of central nervous system,185
Monogenic hearing loss,185
Pfeiffer syndrome,185
Orofaciodigital syndrome I,185
Hereditary spastic paraplegia 39,185
"Colorectal cancer, hereditary nonpolyposis, type 7",185
Autosomal recessive spastic paraplegia type 78,184
"Tooth agenesis, selective, 4",184
Junctional epidermolysis bullosa,184
"Seizures, benign familial neonatal, 1",184
Neurodegeneration with brain iron accumulation 5,184
Nijmegen breakage syndrome-like disorder,183
"Ehlers-Danlos syndrome, kyphoscoliotic type 1",183
Hermansky-Pudlak syndrome 3,183
Stickler syndrome type 1,183
Cerebrooculofacioskeletal syndrome 2,183
