condition,pathogenic_variant_count
"Glaucoma, primary open angle, juvenile-onset",2
MTFMT-related disorder,2
SLC25A4-related disorder,2
"Spondyloepimetaphyseal dysplasia, Shohat type",2
Hyperextensible skin,2
INPP5K-related disorder,2
CAPN12-related disorder,2
ARHGEF1-related disorder,2
"Mitochondrial complex I deficiency, nuclear type 12",2
"CHARCOT-MARIE-TOOTH DISEASE, TYPE 1B, WITH FOCALLY FOLDED MYELIN SHEATHS",2
Systolic heart failure,2
Acquired long QT syndrome,2
Haemorrhagic telangiectasia 1,2
CDH15-related disorder,2
Fatty replacement of skeletal muscle,2
Congenital blindness,2
Dextrocardia,2
Hereditary angioneurotic edema,2
HPD-related disorder,2
PRNP-related disorder,2
MC1R-related disorder,2
Abnormal intrahepatic bile duct morphology,2
Peroxisome biogenesis disorder type 1A,2
TNFSF11-related disorder,2
Hyperkalemia,2
SHORT-RIB THORACIC DYSPLASIA 7 WITHOUT POLYDACTYLY,2
Thrombocytopenia 3,2
Schizophrenia 19,2
Nebulin-related early-onset distal myopathy,2
Cephalocele,2
Recurrent otitis media,2
"Sandhoff disease, juvenile form",2
Barrett esophagus,2
CRYBB2-related disorder,2
Interferon gamma receptor deficiency,2
Patent ductus arteriosus,2
NCF4-related disorder,2
Peroneal muscle atrophy,2
Immunodeficiency 73c with defective neutrophil chemotaxis and hypogammaglobulinemia,2
FHL2-related disorder,2
"DEVELOPMENTAL DELAY, IMPAIRED SPEECH, BEHAVIORAL ABNORMALITIES, AND SEIZURES",2
BSND-related disorder,2
Arrhythmogenic ventricular cardiomyopathy,2
"Colorectal cancer with chromosomal instability, somatic",2
"Coronary artery disease, autosomal dominant, 1",2
"MACRODACTYLY, SOMATIC",2
Basan syndrome,2
Cortisone reductase deficiency 2,2
Thoracic aortic aneurysm,2
Benign Rolandic epilepsy,2
P5CS deficiency,2
X-linked reticulate pigmentary disorder,2
Apnea,2
Recurrent sinusitis,2
Amblyopia,2
SPR-related disorder,2
Arachnodactyly,2
Abnormal electroretinogram,2
unclassified developmental and epileptic encephalopathy,2
GNPAT-related disorder,2
"Muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development), type B, 15",2
DNAH10-related disorder,2
Chromosome 16q12 duplication syndrome,2
TBX19-related disorder,2
Vulvar adenocarcinoma of mammary gland type,2
Hypermagnesemia,2
RECQL4-related spectrum disorders,2
Holoprosencephaly 14,2
"Pelizaeus-Merzbacher disease, connatal",2
Autosomal recessive SPATA7-related disorders,2
Hepatic steatosis,2
Pain,2
"Epilepsy, juvenile myoclonic, susceptibility to, 10",2
SPTBN1-related disorder,2
"Thyroid hormone metabolism, abnormal, 2",2
Keratosis linearis-ichthyosis congenita-sclerosing keratoderma syndrome,2
L2HGDH-related disorder,2
Advanced sleep phase syndrome 2,2
"Epiphyseal dysplasia, multiple, 1, severe",2
Perinatal lethal hypophosphatasia,2
C12orf57-related disorder,2
Microcephaly and chorioretinopathy with or without intellectual disability,2
Craniosynostosis 6,2
COG4-related disorder,2
Immunodeficiency 60,2
ITM2B-related disorder,2
Oocyte maturation defect 10,2
PGK1-related disorder,2
X-linked intellectual disability-hypotonia-movement disorder syndrome,2
ITPA-related disorder,2
Ascending aortic dissection,2
GALNT3-related disorder,2
"Craniotubular dysplasia, Ikegawa type",2
"Anemia, sideroblastic, 5",2
"Parathyroid adenoma, somatic",2
"Long QT syndrome 2/3, digenic",2
"Osteogenesis imperfecta type 1, mild",2
Skin erosion,2
Sudden unexpected death in epilepsy,2
Haemorrhagic telangiectasia 2,2
GHRHR-related disorder,2
Anxiety,2
Mild non-PKU hyperphenylalanemia,2
Autosomal recessive RPGRIP1L-related disorders,2
Cerebral cortical atrophy,2
UNC119-related disorder,2
"Neurodegeneration, early-onset, with choreoathetoid movements and microcytic anemia",2
SOX17-related disorder,2
Gait imbalance,2
Glycine N-methyltransferase deficiency,2
Increased left ventricular wall thickness,2
Neoplasm of brain,2
Sudden death,2
GCNT2-related disorder,2
Inner ear malformation,2
FLNA related lung disease,2
"Granulomatous disease, chronic, autosomal recessive, 5",2
Paroxysmal dystonia,2
Familial intrahepatic cholestasis type 1,2
"Corneal dystrophy, lattice type 3A",2
Myotonia levior,2
Inherited susceptibility to asthma,2
Vein of Galen aneurysmal malformation,2
"Hyperuricemic nephropathy, familial juvenile type 3",2
Inflammatory bowel disease,2
Lower Urinary Tract Obstruction,2
IL2RB-related disorder,2
Porphyrinuria,2
Tricuspid regurgitation,2
"Sideroblastic anemia 1, late-onset",2
Distal sensory impairment,2
Autosomal recessive ERCC2-related disorders,2
TANGO2-related disorder,2
Langereis blood group,2
GNB1-related disorder,2
DIP2B-related disorder,2
ALG3-related disorder,2
Finger syndactyly,2
ATP2B4-related disorder,2
RFWD3-related disorder,2
Gyrate atrophy of choroid and retina with pyridoxine-responsive ornithinemia,2
Wilms tumor 5,2
Cleidocranial dysplasia 2,2
"OPTIC ATROPHY 9, AUTOSOMAL RECESSIVE",2
Ossifying fibroma of the jaw,2
Intestinal polyposis syndrome,2
ACBD5-related disorder,2
DHPS-related disorder,2
SPG21-related disorder,2
AFG2B-related disorder,2
TNFRSF9-related disorder,2
Chloramphenicol resistance,2
Focal palmoplantar keratoderma,2
Telecanthus,2
Generalized joint hypermobility,2
"EPIDERMOLYSIS BULLOSA SIMPLEX 2D, GENERALIZED SEVERE, AUTOSOMAL RECESSIVE",2
"HYPOMAGNESEMIA 7, RENAL, WITH DILATED CARDIOMYOPATHY",2
kanamycin response - Toxicity,2
SNIP1-related disorder,2
Germinomatous germ cell tumor,2
SPG11-related spastic paraplegia,2
"Pituitary adenoma, growth hormone-secreting, 2",2
ISPD-related disorder,2
LIPC-related disorder,2
ADAM9-related disorder,2
WT1-related Wilms tumor,2
WEE2-related disorder,2
Gingival overgrowth,2
Mitochondrial DNA depletion syndrome 18,2
Non-syndromic syndactyly,2
Parastremmatic dwarfism,2
"FRONTOTEMPORAL DEMENTIA WITH TDP43 INCLUSIONS, TARDBP-RELATED",2
Frontonasal dysplasia - severe microphthalmia - severe facial clefting syndrome,2
Eczematoid dermatitis,2
Hypotrichosis 3,2
AKT1-related disorder,2
Hereditary factor XIII deficiency disease,2
Autosomal dominant DNMT3A-related disorders,2
CATSPER1-related disorder,2
Fontaine progeroid syndrome,2
Inguinal hernia,2
"Intellectual disability, autosomal recessive 59",2
Age related macular degeneration 7,2
Pigmentary retinopathy,2
"Thrombocytopenia, X-linked, without dyserythropoietic anemia",2
CEACAM16-related disorder,2
IFIH1-related immunodeficiency,2
Uterine leiomyoma,2
WNT7A-related disorder,2
Autosomal dominant CREBBP-related disorders,2
"Ichthyotic keratoderma, spasticity, hypomyelination, and dysmorphic facial features",2
RRAS-related disorder,2
Hepatic Ductular Hypoplasia,2
Variable neurodevelopmental disorder,1
RORB-related disorder,1
Lui-Jee-Baron syndrome,1
Pulmonary hypertension,1
PSMC5-related Neurodevelopmental proteasomopathy,1
PRMT9-associated neurodevelopmental disorder,1
AKT3 related microcephaly,1
"Neutropenia, severe congenital, 11, autosomal dominant",1
RNU4-2-associated neurodevelopmental disorder,1
PRKAG2 syndrome,1
GABBR1-related neurodevelopmental disorder,1
COL5A1-related disorders,1
CASZ1-related dilated cardiomyopathy,1
Type 1 interferonopathy of childhood,1
KCND2-related neurodevelopmental disorder with or without seizures,1
SAMD9L-associated autoinflammatory syndrome,1
C1Q deficiency 3,1
YWHAE-associated disorder,1
VPS25-related neurodevelopmental delay,1
RRM1-related disorder,1
"Ehlers-Danlos syndrome, classic-like, 3",1
Cranioectodermal dysplasia 6,1
SF1-related neurodevelopmental disorder,1
"Osteopetrosis, autosomal dominant 4",1
MEI1-related disorder,1
Hypopituitarism,1
TP53RK-related disorder,1
PTPN4-related Neurodevelopmental Disorder,1
GRID1-associated neurodevelopmental disorder,1
Spermatogenic failure 87,1
ZFHX2-related disorder,1
IPO8-related disorder,1
NR3C1-related disorder,1
20q13.13qter duplication,1
CTNNA2-related disorder,1
16p13.11 microdeletion syndrome,1
TRA2B-associated epileptic encephalopathy,1
Autoinflammatory encephalopathy due to PTPN1 haploinsufficiency,1
"Deafness, autosomal dominant",1
Carcinoma of parotid gland,1
"Intellectual developmental disorder, X-linked 113",1
LRP5-related primary osteoporosis,1
Congenital nuclear cataract,1
Familial multiple meningioma,1
Early onset multivalvular disease,1
Autosomal dominant LEMD3-related disorders,1
Spermatogenic failure 99,1
SVBP-related disorder,1
Finnish upper limb-onset distal myopathy,1
Gigyf1-related Developmental Disorder,1
Otosclerosis 11,1
PSMD11-associated obesity and neurodevelopmental disorder,1
"Mitochondrial complex IV deficiency, nuclear type 14",1
RYK-related disorder,1
COL6A5-related disorder,1
Abnormality of the vertebral column,1
CELF2-related disorder,1
"CSS12 + schizoaffective disorder, bipolar type/adult-onset psychiatric condition",1
UPF3B-related neurodevelopmental disorder,1
7q22 microdeletion,1
Neurodevelopmental disorder with variable cerebral and eye anomalies,1
GOLGA2-related disorder,1
CNTNAP4-related disorder,1
CTNNA1-related diffuse gastric and lobular breast cancer syndrome,1
Qualitative or quantitative defects of calpain,1
"SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 10",1
Chromosome 15q24 deletion syndrome,1
ZRSR2-related disorder,1
MACROH2A1-related neurodevelopmental disorder,1
16p13.11p11.2 triplication syndrome,1
MYCBP2-related neurodevelopmental condition,1
Hyperpigmentation of the skin,1
Odontochondrodysplasia 2 with hearing loss and diabetes,1
GABRD-Related Disorders,1
DIS3-related disorder,1
LMNB1-related primary microcephaly,1
Autosomal recessive LRP4-related disorders,1
AP1B1-related disorder,1
"Muscular dystrophy, limb-girdle, autosomal recessive 29",1
Macrozoospermia,1
MAK-related retinopathy,1
Immunodeficiency 112,1
SMARCA5-related disorder,1
ketotic hypoglycaemia,1
MYH10-related neurodevelopmental disorder with congenital anomalies,1
"Diabetes mellitus, noninsulin-dependent, 1",1
PLS1-related disorder,1
Chromosome 3q13.31 deletion syndrome,1
"Auditory neuropathy, autosomal dominant 2",1
ACER3-related disorder,1
MMP2-related disorder,1
Autosomal dominant severe congenital neutropenia,1
Autosomal dominant TSHR-related disorders,1
Autoinflammation with pulmonary and cutaneous vasculitis,1
NOVA2-related disorder,1
TSHZ3-related disorder,1
POFUT1-related disorder,1
MARS2-related disorder,1
CCDC82-related disorder,1
Myopathy caused by variation in GMPPB,1
Familial hypoaldosteronism,1
TTC21A-related disorder,1
MED12L-related disorder,1
Cardiofaciocutaneous spectrum disorder,1
PAX1-related disorder,1
Aicardi syndrome,1
PUM1-related disorder,1
ASCC3-associated disorder,1
X-linked osteoporosis with fractures,1
SPOUT1-associated neurodevelopmental disorder,1
SLC9A6-related disorder,1
Antichymotrypsin deficiency-alpha-1,1
DRD1-related Dystonia,1
JKAMP-related neurodevelopmental disorder,1
BRWD1-related disorder,1
"Cardiomyopathy, dilated, 2H",1
GABRA4-associated disorder,1
HCFC1-related disorders,1
TMPRSS9-related neurodevelopmental disorder,1
AGTR1-related disorder,1
FGF16-related disorder,1
Autosomal recessive MYH2-related disorders,1
Deficiency of fructose-bisphosphatase,1
Abnormal cerebral vascular morphology,1
Aldosterone Synthase Deficiency,1
BSN-associated epilepsy,1
KNOPS BLOOD GROUP SYSTEM,1
NARS1-related disorder,1
Spermatogenic failure 93,1
Neurodevelopmental phenotype,1
SCN8A-related neurodevelopmental delay,1
STXBP3-related disorders,1
Epiphyseal dysplasia,1
"Hypohidrotic Ectodermal Dysplasia, Dominant",1
Vacuolar Neuromyopathy,1
FHOD3-related disorder,1
Autosomal dominant SLC4A1-related disorders,1
16p13.1 duplication,1
COL1A1-related Ehlers-Danlos syndrome,1
DIP2C-related neurodevelopmental disorder,1
Autosomal recessive TOR1AIP1-related disorders,1
CSMD1-associated neurodevelopmental disorder,1
"DENTIN DYSPLASIA, TYPE IC",1
Dominant hereditary optic atrophy,1
IQSEC3-related disorder,1
PDE3A-related disorder,1
XK-related disorder,1
KDM2A related condition,1
Autosomal recessive CR2-related disorders,1
Autosomal semidominant CFAP43-related disorders,1
"Cataracts, hearing impairment, nephrotic syndrome, and enterocolitis 2",1
STS-related disorder,1
CAPRIN1-related disorder,1
"Neurodevelopmental disorder, RABGAP1-related",1
Partial duplication of the long arm of chromosome 3,1
SLC35D1-related disorder,1
Pure mitochondrial myopathy,1
ZP1-related disorder,1
16p12.3p13.12 deletion,1
Almond-shaped palpebral fissure,1
CAPN10-related disorder,1
Congenital syndromic hypopituitarism,1
Turner syndrome,1
"Megalencephalic leukoencephalopathy with subcortical cysts 4, remitting",1
GRIA4-related disorder,1
EFNB1-related disorder,1
PDZD2-related disorder,1
Xq13q21 duplication,1
Immunodeficiency 125,1
PRKCE-associated disorder,1
9p partial trisomy syndrome,1
Distal 10q deletion syndrome,1
RIPK1-related disorder,1
Arthrogryposis Multiplex Congenita and Immunodeficiency,1
Autosomal dominant SPTAN1-related disorders,1
QRICH1-related neurodevelopmental disorder,1
NPTN-associated neurodevelopmental disorder,1
FAM38B-related disorder,1
DRD3-related disorder,1
Atypical retinitis pigmentosa,1
MAPK1-related disorder,1
THOC2-related disorder,1
New-onset refractory status epilepticus,1
YPEL3-related condition,1
RAD51B-related cancer predisposition,1
Sarcosine dehydrogenase deficiency,1
MINPP1-related disorder,1
Autosomal recessive ERCC6-related disorders,1
SSX1-related disorder,1
SYNCRIP-associated neurodevelopmental disorder,1
NR2F1-related disorder,1
"Polysubstance abuse, susceptibility to",1
MTHFD1-related disorder,1
Autosomal dominant KCNMA1-related disorders,1
Autosomal dominant TRAF3-related disorders,1
POU6F2-related disorder,1
Short stature-advanced bone age-early-onset osteoarthritis syndrome,1
15q11.2 BP1-BP2 recurrent deletion,1
AQP1-related pulmonary hypertension,1
TET3-Related Beck-Fahrner Syndrome,1
Autosomal dominant ZFHX3-related disorders,1
"Neuronopathy, distal hereditary motor, autosomal dominant 15",1
BICRA-related Coffin-Siris syndrome,1
Partial deletion of the long arm of chromosome 11,1
Spermatogenic failure 97,1
SLCO2A1-related disorder,1
TMEM63B-associated disorder,1
BCL11A-related disorder,1
PDE8B-Related Disorders,1
AUTS2-related neurodevelopmental disorder,1
"Epileptic encephalopathy, infantile or early childhood",1
MLIP-related disorder,1
Autosomal dominant NR5A1-related disorders,1
Complete androgen insensitivity syndrome,1
HELLS-related disorder,1
NCAPD3-related disorder,1
DES-related cardiomyopathy,1
MT-TF-related mito tubulointerstitial kidney disease (MITKD),1
MED13-related neurodevelopmental disorder,1
Central precocious puberty,1
CSMD1-related disorder,1
Otosclerosis 4,1
NCKAP1-related neurodevelopmental disorder with autism features,1
TBX10-related disorder,1
OFD1-related ciliopathy,1
APOBEC3B-related condition,1
HACE1-related neurodevelopmental disorder,1
LZTR1-associated CaLMs-syndrome,1
RBM10-related disorder,1
TANC2-related disorder,1
H4C3-related disorder,1
SUFU-related ocular motor apraxia,1
3p25.3p26.3 deletion,1
HP:0001270,1
Highly elevated creatine kinase,1
SHANK1-related autism,1
FITM2-related disorder,1
BLOOD GROUP--LUTHERAN SYSTEM,1
Metaphyseal acroscyphodysplasia,1
SPTBN5-related disorder,1
PRKCB-related disorder,1
CHST11-related disorder,1
GRIA1-related disorder,1
Short-rib thoracic dysplasia 22 without polydactyly,1
Spasmodic torticollis,1
Autosomal recessive RNU4-2-related neurodevelopmental disorder,1
UBE4A-related neurodevelopmental disorder,1
SATB1-related disorder,1
GFRA1-related disorder,1
UNC79-associated seizure disorder,1
Autosomal dominant DSPP-related disorders,1
Autosomal recessive NUP133-related disorders,1
Familial rhabdoid tumours,1
Temporomandibular joint disorder,1
Deletion of short arm of chromosome 18,1
FUT1-related disorder,1
Disorder of cardiovascular system,1
MARK2-associated neurodevelopmental disorder,1
JKAMP neurodevelopmental disorder,1
"Trichothiodystrophy 9, nonphotosensitive",1
Autosomal dominant GRIN2B-related disorders,1
RPL5-related disorder,1
TRPC5-related disorder,1
Diffuse lymphatic malformation,1
Encephalopathy due to mitochondrial and peroxisomal fission defect,1
PRPH2-associated retinal disease,1
Chromosome 6q24-q25 deletion syndrome,1
FYB1-related disorder,1
CEP20-related disorder,1
Autosomal dominant BMP4-related disorders,1
TIAM1-related disorder,1
adipositas,1
"Muscular dystrophy, congenital, with rapid progression",1
LRP1B-related disorder,1
MUC16-related disorder,1
AFF3-related disorder,1
GRIA2-related disorder,1
VSIG4-related disorder,1
BAZ2B-associated neurodevelopmental disorder,1
POLRMT-related disorder,1
STAG3-related disorder,1
GDAP2-related disorder,1
JMJD7-PLA2G4B-related disorder,1
KDM2B-related syndrome,1
DOT1L-related condition,1
Non-acquired combined pituitary hormone deficiency,1
DNM1-related disorders,1
Autosomal recessive CHRNB1-related disorders,1
Chromosome 13q33-q34 deletion syndrome,1
CYCS-related disorder,1
6q14.1q15 deletion,1
"Fibromatosis, gingival, 6",1
"CLDN5-related hemiplegia, microcephaly and brain calcification",1
PLEKHA7-related disorder,1
glycolate oxidase deficiency,1
Pachydermoperiostosis syndrome,1
LHX2-associated neurodevelopmental disorder,1
Polydactyly of a biphalangeal thumb,1
SYT2-related disorder,1
GAS2L2-related disorder,1
Paragangliome / Pheochromocytome,1
FLRT3-related disorder,1
Exertional Heat Illness,1
Abnormal palate morphology,1
"Systemic lupus erythematosus, susceptibility to, 1",1
SIN3B-related neurodevelopmental disorder,1
Autosomal recessive DNA2-related disorders,1
Luo-Agrawal neurodevelopmental syndrome,1
PABPN1-related disorder,1
Fine-Lubinsky syndrome,1
CFAP53-related disorder,1
Developmental dysplasia of the hip 4,1
X-linked BCOR-related disorders,1
WDTC1-related disorder,1
Autosomal dominant INF2-related disorders,1
HNRNPUL2-related disorder,1
Trisomy 12p,1
Klinefelter syndrome,1
"Early-childhood-onset neurodegeneration with retinitis pigmentosa, sensorineural hearing loss, and demyelinating peripheral neuropathy",1
AGR2-related disorder,1
Charcot-Marie-Tooth disease type 5,1
MYCBP2-associated neurodevelopmental disorder,1
SELENOI-related condition,1
Chronic recurrent multifocal osteomyelitis 3,1
ADAMTS3-related disorder,1
TMEM151A-related disorder,1
"Polycystic kidney disease 4, with or without hepatic disease",1
"Intellectual developmental disorder, X-linked 110",1
DNAJC30-related disorder,1
HP:0000592,1
AFG3L2-associated disorder,1
FASN-associated disorder,1
UNC79-related neurodevelopmental disorder,1
BORCS5-related disorder,1
Motor Disorders,1
TNRC6B-related neurodevelopmental disorder,1
TBL1X-related disorder,1
Autosomal dominant and autosomal recessive PIEZO2-related disorders,1
LRRC7-associated disorder,1
Congenital myopathy with reduced type 2 muscle fibers,1
TUBGCP2-related disorder,1
DHH-related disorder,1
AMMECR1-related disorder,1
"Autosomal recessive cutis laxa type 2, classic type",1
NUP214-related disorder,1
PLXNB1-related disorder,1
COX6A2-related disorder,1
EFEMP1-related connective tissue condition,1
MED12L-associated neurodevelopmental disorder,1
"Spastic paraplegia 92, autosomal recessive",1
Spermatogenic failure 85,1
Mandibulofacial dysostosis,1
"Hypophosphataemia, X-linked",1
Body mass index quantitative trait locus 14,1
TAOK2-associated neurodevelopmental disorder,1
Carcinoma of esophagus,1
Autosomal recessive COASY-related disorders,1
Inherited primary ovarian failure,1
SCN2A-related neurodevelopmental disorder,1
opticusatrophia,1
FOXP1-related neurodevelopmental disorder,1
Autosomal recessive FKRP-related disorders,1
arthrogryposis multiplex congenita with neutropenia and early respiratory failure,1
"Renal cell carcinoma, Xp11-associated",1
MAP4K4-related neurodevelopmental delay,1
End-stage retinitis pigmentosa,1
ATAD3A deficiency,1
Polyglucosanbody Myopathy Typ 1,1
Bilateral congenital or childhood onset cataracts,1
Neonatal hemochromatosis,1
ZNF148-related disorder,1
P4HTM-related disorder,1
CLTC-related disorder,1
RNU2-2P-related disorders,1
Autosomal dominant PAFAH1B1-related disorders,1
Hereditary predisposition to infections,1
Disorder of GNAS inactivation,1
NR2F2-Releated Disorders,1
ZFHX4-associated neurodevelopmental disorder,1
Neurological syndrome with pontocerebellar hypoplasia,1
Progressive pulmonary failure,1
CFAP57-related disorder,1
ZNFX1-related disorder,1
EXOC3L2-related brain malformations and/or renal disease,1
F8-related disorders,1
Rare genetic inflammatory skin disorders,1
PAX5-related disorder,1
NPRL2-related disorder,1
PORCN-Related Developmental Disorders,1
Arthrogryposis with renal dysfunction and cholestasis syndrome,1
GLUD1-related disorder,1
Autosomal dominant KRAS-related disorders,1
IDUA-related core myopathy,1
DCX-related disorder,1
Autoinflammation and autoimmunity with immune dysregulation 2,1
Autosomal dominant COL4A4-related disorders,1
X-linked STAG2-related disorders,1
Clonal hematopoiesis,1
RREB1-associated Noonan-like syndrome,1
Bilateral polymicrogyria,1
"Myelofibrosis, congenital, with anemia, neutropenia, developmental delay, and ocular abnormalities",1
SYNCRIP-related neurodevelopmental disorder,1
"Joint contractures, osteochondromas, and B-cell lymphoma",1
Interstitial pulmonary disease,1
ODAD3-related disorder,1
Neonatal developmental and epileptic encephalopathy with movement disorders and arthrogryposis (NDEEMA),1
X-linked MED12-related disorders,1
NRXN2-related developmental disorder,1
TFAP2B-related congenital heart disease spectrum disorder,1
DCHS1-Related Disorders,1
Autosomal dominant NOTCH1-related disorders,1
Overgrowth syndrome and/or cerebral malformations,1
MED12-related neurodevelopmental delay,1
RBBP5-related syndromic neurodevelopmental condition,1
SEMA6A-Related Disorder,1
TRIM71-related disorder,1
SPTBN1-related neurodevelopmental disease,1
Multiple Myeloma Predisposition,1
Autosomal recessive FGFR1-related disorders,1
Autosomal recessive TBC1D24-related disorders,1
neurodevelopmental syndrome with epilepsy and autism,1
SLC39A8-related disorder,1
Peroxisome biogenesis disorder due to PEX5 defect,1
C12orf4-related disorder,1
CMIP-related neurodevelopmental disorder,1
SERAC1-related neurological disorder,1
Temporal lobe epilepsy,1
Anorectal anomaly,1
Spermatogenic failure 102,1
ANK2-associated seizure disorder,1
Miller Dieker syndrome,1
Kell blood group system,1
DHX9-related neurodevelopmental disorder,1
H1-4-related disorder,1
WASF1-related disorder,1
"Neurodevelopmental disorder with hypotonia, poor growth, dysmorphic facies, and agammaglobulinemia",1
Dysosteosclerosis,1
TRIP11-related skeletal dysplasia,1
TRA2B-related condition,1
X-linked ATRX-related disorders,1
X-linked NHS-related disorders,1
BAZ2B-related Neurodevelopmental disorder,1
CFAP65-related disorder,1
SEMA3B-related disorder,1
KCNQ3-associated disorder,1
LIPOPROTEIN(a) QUANTITATIVE TRAIT LOCUS,1
ZFHX3-associated disorder,1
Moderate NDD,1
MYT1L-related neurodevelopmental disorder,1
ARHGEF28-related disorder,1
TLR7-related disorder,1
CSTA-related disorder,1
UNC93B1-related disorder,1
PSMC3-Related Neurodevelopmental Delay,1
SLC5A1-related glucose/galactose malabsorption,1
Proportionate tall stature,1
HECTD1-associated neurodevelopmental disorder,1
Brain small vessel disease 4,1
CAMK2D-related neurodevelopmental disorder and dilated cardiomyopathy,1
UNC79-related disorder,1
EHMT2-related Kleefstra-like syndrome,1
"Myopathy with myalgia, increased serum creatine kinase, and with or without episodic rhabdomyolysis 2",1
NMNAT1-related retinopathy,1
Free sialic acid storage disease,1
ANK-related Autism spectrum disorder and epilepsy,1
MYH10-related disorder,1
ATAD3A-related condition,1
CDSN-related disorder,1
CFAP251-related disorder,1
FOXJ1-related disorder,1
Autoimmune lymphoproliferative syndrome,1
Alström Syndrom,1
Autosomal recessive MUSK-related disorders,1
"Cardiomyopathy, dilated, 100",1
SPTBN4-related disorder,1
Collagen type 1 disorder,1
STUB1-related disorder,1
BRSK1-associated neurodevelopmental disorder,1
ANKRD17-related disorder,1
hypertrophic cardiomyopathie,1
5q14.3 microdeletion,1
ANTXR1-related disorder,1
"Spondyloepimetaphyseal dysplasia, Li-Shao-Li type",1
HP:0001252,1
ODF2-related disorder,1
15q14 microdeletion syndrome,1
FCHO1-related disorder,1
AAGAB-related disorder,1
HMGB1-associated disorder,1
Myelodysplastic syndrome associated with isolated del(5q),1
PTPN4-related aberrant neurodevelopment and growth,1
CSNK1G1-related developmental disorder with autism spectrum disorder,1
Inflammatory poikiloderma with hair abnormalities and acral keratoses,1
Chromosome 19p13.13 deletion syndrome,1
IMPDH2-related neurodevelopmental condition,1
X-linked nonsyndromic hearing loss,1
"Spermatogenic failure, X-linked, 9",1
PPFIA3-related neurodevelopmental disorder,1
"Hhypotonia, ataxia, and delayed development syndrome",1
"PAGET DISEASE OF BONE 7, EARLY-ONSET",1
CEL-related disorder,1
Metatarsus adductus,1
WDR5-related neurodevelopmental delay,1
Hereditary lipodystrophy,1
MARK2-associated disorder,1
Yellow nail syndrome,1
5p partial monosomy syndrome,1
22q11.2 deletion syndrome,1
VEGFA-related disorder,1
FGF13-related disorder,1
Neurodevelopmental disorder with poor growth,1
Aplasia of the ovary,1
Autosomal dominant TCF7L2-related disorders,1
ERG2-related disorder,1
Diarrhea 13,1
RIGI-related disorder,1
Oligoasthenoteratozoospermia,1
PHP Type 1a / PPHP,1
Axenfeld-Rieger syndrome,1
Mental disorder,1
Early-onset retinitis pigmentosa,1
CLTCL1-related disorder,1
KERA-related disorder,1
ZFYVE19-related disorder,1
PSMD11-Related Disorders,1
"Pulmonary hypertension, primary, 7",1
FLT4-related disorders,1
Autosomal dominant APOA5-related disorders,1
SNUPN deficiency muscular dystrophy,1
MAGED2-related disorder,1
"Cardiomyopathy, familial hypertrophic, 30, atrial",1
CASZ1-associated cardiomyopathy,1
EEF2-related neurodevelopmental disorder with multiple anomalies,1
SGSM3-related intellectual disability,1
ABCA1-related dyslipidemia,1
TTC29-related condition,1
Autosomal dominant NKX2-1-related disorders,1
Undefined NRXN1-related disorders,1
Interstitial lung disease specific to childhood,1
TOPORS-related retinopathy,1
Intramuscular hemangioma,1
FOXC1-related anterior segment dysgenesis,1
Mirror movements 1 and/or agenesis of the corpus callosum,1
Semantic dementia,1
Feeding difficulties in infancy,1
PSMC5-related neurodevelopmental condition,1
NUSAP1-associated neurodevelopmental disorder,1
ITSN1-associated neurodevelopmental disorder,1
DONSON-related microcephaly-short stature-limb abnormalities spectrum,1
H4C5-related disorder,1
FBLN1-related disorder,1
SHANK1-related disorder,1
CKAP2L-related disorder,1
FAM20A-related disorder,1
KDM6B-related neurodevelopmental disorder,1
Hypogonadotropic hypogonadism 18 with or without anosmia,1
Cardiogenetic disease,1
"Central hypoventilation syndrome, congenital, 3",1
Fetal akinesia,1
FZR1-related condition,1
TTC12-related disorder,1
RFX7-related disorder,1
Type 1 interferonopathy,1
CWF19L1-related disorder,1
RAB3A-related condition,1
AMN-related disorder,1
CNNM2-Related Disorders,1
BRWD3- related syndromic intellectual disability,1
Branchiootic syndrome 2,1
FBN2-related disorders,1
PPP1R13L-related disorder,1
Renal glycosuria,1
Facioscapulohumeral muscular dystrophy 1,1
Autosomal recessive BBS1-related disorders,1
Neuromuscular disease caused by qualitative or quantitative defects of plectin,1
Combined low LDL and fibrinogen,1
KCNA2-related developmental and epileptic encephalopathy,1
BICD2-related Autosomal recessive Cohen Like syndrome,1
SENP7-associated disorder,1
Mild NDD,1
BRSK2-related neurodevelopmental disorder,1
PLA2G6-associated neurodegeneration (PLAN),1
Moderately severe hemophilia B,1
Autosomal recessive FLG-related disorders,1
Spinocerebellar ataxia type 37,1
FRYL-associated neurodevelopmental disorder,1
ARID5A-related disorder,1
Corneal disorder,1
Hemifacial myohyperplasia,1
TMEM126B-related disorder,1
PSMD12-related disorder,1
PHF8-related disorder,1
"1q21.1 microdeletion syndrome (BP3-BP4, distal)",1
SEMA6B-related disorder,1
Abnormal aortic morphology,1
HP:0000252,1
CSDE1-related neurodevelopmental disorder,1
"Hearing loss, autosomal dominant 86",1
"Spastic paraplegia 90A, autosomal dominant",1
NEMF-related disorder,1
BLOC1S5-related disorder,1
PPFIA3-associated neurodevelopmental disorder,1
Craniosynostosis-scoliosis syndrome,1
